央视频道,#genre#
海南卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226562/index.m3u8
宁夏卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227187/index.m3u8
山西卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227191/index.m3u8
重庆卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227220/index.m3u8
内蒙古卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227185/index.m3u8
天津卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227209/index.m3u8
东南卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227195/index.m3u8
湖北卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227238/index.m3u8
吉林卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227240/index.m3u8
深圳卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227428/index.m3u8
云南卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227211/index.m3u8
江西卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227226/index.m3u8
四川卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227197/index.m3u8
湖南卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227205/index.m3u8
浙江卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227202/index.m3u8
东方卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227199/index.m3u8
江苏卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227228/index.m3u8
北京卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227411/index.m3u8
黑龙江卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227207/index.m3u8
广东卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227415/index.m3u8
安徽卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227230/index.m3u8
山东卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227234/index.m3u8
辽宁卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227236/index.m3u8
陕西卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227216/index.m3u8
安多卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225659/index.m3u8
贵州卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227224/index.m3u8
河北卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227222/index.m3u8
康巴卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227259/index.m3u8
延边卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227253/index.m3u8
三沙卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227404/index.m3u8
厦门卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227375/index.m3u8
广东卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227415/index.m3u8
深圳卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227428/index.m3u8

地方频道,#genre#
河南新闻,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226544/index.m3u8
河南都市,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227241/index.m3u8
河南民生,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227268/index.m3u8
河南公共,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227243/index.m3u8
河南国际,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226588/index.m3u8
河南电视剧,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227270/index.m3u8
河南法治,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226724/index.m3u8
河南乡村,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226576/index.m3u8
河南移动电视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226871/index.m3u8
郑州新闻,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226618/index.m3u8
郑州商都,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226650/index.m3u8
郑州文旅,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226627/index.m3u8
郑州影戏,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226645/index.m3u8
郑州妇儿,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226686/index.m3u8
郑州都市,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226708/index.m3u8
郑州教育,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227383/index.m3u8
荥阳综合,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226673/index.m3u8
开封综合,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226689/index.m3u8
开封文旅,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226515/index.m3u8
祥符电视台,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227349/index.m3u8
杞县综合,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227100/index.m3u8
兰考综合,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227377/index.m3u8
商丘综合,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226550/index.m3u8
商丘文科,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226551/index.m3u8
商丘公共,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226539/index.m3u8
永城综合,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227057/index.m3u8
洛阳综合,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226542/index.m3u8
洛阳科教,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226554/index.m3u8
洛阳文娱,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
驻马店 1 套,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226613/index.m3u8
驻马店 2 套,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226690/index.m3u8
驻马店 3 套,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226598/index.m3u8
上蔡 - 1,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227065/index.m3u8
周口综合,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226582/index.m3u8
周口公共,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226626/index.m3u8
周口教育,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226636/index.m3u8
郸城县台,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227083/index.m3u8
项城电视台,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226541/index.m3u8
信阳综合,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226646/index.m3u8
信阳文旅,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226658/index.m3u8
信阳教育,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226674/index.m3u8
信阳浉河,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226651/index.m3u8
信阳光山综合,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227055/index.m3u8
信阳新县台,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227090/index.m3u8
安阳新闻,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226634/index.m3u8
安阳科教,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226642/index.m3u8
安阳公共,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227257/index.m3u8
安阳内黄,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226531/index.m3u8
南阳综合,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226671/index.m3u8
南阳科教,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226620/index.m3u8
南阳公共,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226575/index.m3u8
南阳镇平,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226534/index.m3u8
南阳方城,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227254/index.m3u8
邓州综合,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226348/index.m3u8
三门峡综合,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226523/index.m3u8
义马电视台,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227079/index.m3u8
渑池综合,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226619/index.m3u8
灵宝综合,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227099/index.m3u8
陕州综合,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227250/index.m3u8
濮阳综合,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226643/index.m3u8
濮阳公共,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226664/index.m3u8
濮阳南乐,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227096/index.m3u8
焦作综合,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226604/index.m3u8
焦作教育,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226648/index.m3u8
焦作公共,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226616/index.m3u8
沁阳综合,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227347/index.m3u8
淮阳综合,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227066/index.m3u8
孟州综合,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227035/index.m3u8
